PONTO,ENSAIO,VIA,VARIAVEL,Latitude,Longitude
3,FWD,CE-060,54.2,-4.009098083333333,-38.62297483333333
3,FWD,CE-060,54.2,-4.009269138888889,-38.6230335
3,FWD,CE-060,54.2,-4.009440166666667,-38.623092166666666
3,FWD,CE-060,54.2,-4.009611222222222,-38.623150805555554
3,FWD,CE-060,54.2,-4.00978225,-38.62320947222222
3,FWD,CE-060,54.2,-4.009953305555555,-38.62326813888889
3,FWD,CE-060,54.2,-4.010124333333334,-38.62332680555556
3,FWD,CE-060,54.2,-4.010295388888889,-38.623385472222225
3,FWD,CE-060,54.2,-4.010466444444445,-38.62344411111111
3,FWD,CE-060,54.2,-4.010637472222222,-38.62350277777778
3,FWD,CE-060,54.2,-4.010808527777778,-38.62356144444445
3,FWD,CE-060,54.2,-4.010979555555555,-38.62362011111111
4,FWD,CE-060,65.3,-4.011150611111111,-38.623678777777776
4,FWD,CE-060,65.3,-4.011321638888889,-38.623737416666664
4,FWD,CE-060,65.3,-4.011492694444445,-38.62379608333333
4,FWD,CE-060,65.3,-4.011663722222222,-38.62385475
4,FWD,CE-060,65.3,-4.011834777777778,-38.62391341666667
4,FWD,CE-060,65.3,-4.012005805555556,-38.623972083333335
4,FWD,CE-060,65.3,-4.0121768611111115,-38.62403072222222
4,FWD,CE-060,65.3,-4.012347888888889,-38.62408938888889
4,FWD,CE-060,65.3,-4.0125189444444445,-38.62414805555556
4,FWD,CE-060,65.3,-4.012689972222222,-38.624206722222226
4,FWD,CE-060,65.3,-4.012861027777777,-38.62426538888889
4,FWD,CE-060,65.3,-4.013032055555556,-38.624324055555554
4,FWD,CE-060,65.3,-4.013203111111111,-38.62438269444444
4,FWD,CE-060,65.3,-4.013374138888889,-38.62444136111111
4,FWD,CE-060,65.3,-4.013545194444444,-38.62450002777778
4,FWD,CE-060,65.3,-4.01371625,-38.624558694444445
4,FWD,CE-060,65.3,-4.013887277777778,-38.62461736111111
4,FWD,CE-060,65.3,-4.014058333333334,-38.624676
4,FWD,CE-060,65.3,-4.014229361111111,-38.62473466666667
4,FWD,CE-060,65.3,-4.014400416666667,-38.624793333333336
4,FWD,CE-060,65.3,-4.046434194444444,-38.62480611111111
4,FWD,CE-060,65.3,-4.014571444444444,-38.624852
4,FWD,CE-060,65.3,-4.046585138888889,-38.624837694444444
4,FWD,CE-060,65.3,-4.046266888888889,-38.62487461111111
4,FWD,CE-060,65.3,-4.0147425,-38.624910666666665
4,FWD,CE-060,65.3,-4.0460995833333335,-38.624943083333335
5,FWD,CE-060,140.5,-4.014913527777778,-38.62496933333333
5,FWD,CE-060,140.5,-4.0467219722222225,-38.62495552777778
5,FWD,CE-060,140.5,-4.04593225,-38.62501158333333
5,FWD,CE-060,140.5,-4.0150845833333335,-38.62502797222222
5,FWD,CE-060,140.5,-4.015255611111111,-38.62508663888889
5,FWD,CE-060,140.5,-4.046858833333333,-38.62507336111111
5,FWD,CE-060,140.5,-4.045764944444445,-38.62508008333334
5,FWD,CE-060,140.5,-4.0154266666666665,-38.625145305555556
5,FWD,CE-060,140.5,-4.045597611111111,-38.625148583333335
5,FWD,CE-060,140.5,-4.015597694444445,-38.625203972222224
5,FWD,CE-060,140.5,-4.046995666666667,-38.62519119444445
5,FWD,CE-060,140.5,-4.045430305555556,-38.62521708333333
5,FWD,CE-060,140.5,-4.01576875,-38.62526263888889
5,FWD,CE-060,140.5,-4.045263,-38.62528558333334
5,FWD,CE-060,140.5,-4.015939777777778,-38.62532130555556
5,FWD,CE-060,140.5,-4.0471325,-38.62530902777778
5,FWD,CE-060,140.5,-4.045095666666667,-38.625354055555555
5,FWD,CE-060,140.5,-4.016110833333333,-38.62537994444445
5,FWD,CE-060,140.5,-4.044928361111111,-38.62542255555556
5,FWD,CE-060,140.5,-4.0162818611111115,-38.625438611111115
5,FWD,CE-060,140.5,-4.047269333333333,-38.62542686111111
5,FWD,CE-060,140.5,-4.016452916666666,-38.625497277777775
5,FWD,CE-060,140.5,-4.044761027777778,-38.62549105555556
5,FWD,CE-060,140.5,-4.016623972222222,-38.62555594444444
5,FWD,CE-060,140.5,-4.047406166666667,-38.62554469444444
5,FWD,CE-060,140.5,-4.044593722222222,-38.625559555555554
6,FWD,CE-060,107.4,-4.016795,-38.62561461111111
6,FWD,CE-060,107.4,-4.044426416666666,-38.62562805555556
6,FWD,CE-060,107.4,-4.016966055555556,-38.62567327777778
6,FWD,CE-060,107.4,-4.047543,-38.62566252777778
6,FWD,CE-060,107.4,-4.044259083333333,-38.62569655555556
6,FWD,CE-060,107.4,-4.017137083333333,-38.625731916666666
6,FWD,CE-060,107.4,-4.044091777777778,-38.62576502777778
6,FWD,CE-060,107.4,-4.017308138888889,-38.625790583333334
6,FWD,CE-060,107.4,-4.0476798333333335,-38.62578036111111
6,FWD,CE-060,107.4,-4.043924444444444,-38.62583352777778
6,FWD,CE-060,107.4,-4.017479166666667,-38.62584925
6,FWD,CE-060,107.4,-4.017650222222223,-38.62590791666667
6,FWD,CE-060,107.4,-4.047816666666667,-38.625898194444446
6,FWD,CE-060,107.4,-4.043757138888889,-38.62590202777778
6,FWD,CE-060,107.4,-4.01782125,-38.62596658333334
6,FWD,CE-060,107.4,-4.043589833333333,-38.62597052777778
6,FWD,CE-060,107.4,-4.0179923055555555,-38.62602525
6,FWD,CE-060,107.4,-4.047953527777778,-38.62601602777778
6,FWD,CE-060,107.4,-4.0434225,-38.62603902777778
6,FWD,CE-060,107.4,-4.018163333333333,-38.62608388888889
6,FWD,CE-060,107.4,-4.043255194444444,-38.626107527777776
6,FWD,CE-060,107.4,-4.0183343888888885,-38.62614255555555
6,FWD,CE-060,107.4,-4.048090361111111,-38.626133861111114
6,FWD,CE-060,107.4,-4.043087861111111,-38.626176
6,FWD,CE-060,107.4,-4.018505416666667,-38.62620122222222
6,FWD,CE-060,107.4,-4.042920555555556,-38.6262445
7,FWD,CE-060,145.4,-4.018676472222222,-38.62625988888889
7,FWD,CE-060,145.4,-4.048227194444444,-38.62625169444444
7,FWD,CE-060,145.4,-4.0188475,-38.62631855555556
7,FWD,CE-060,145.4,-4.04275325,-38.626313
7,FWD,CE-060,145.4,-4.019018555555555,-38.626377222222224
7,FWD,CE-060,145.4,-4.048364027777778,-38.626369555555556
7,FWD,CE-060,145.4,-4.042585916666667,-38.6263815
7,FWD,CE-060,145.4,-4.0191895833333335,-38.62643588888889
7,FWD,CE-060,145.4,-4.042418611111111,-38.62645
7,FWD,CE-060,145.4,-4.019360638888889,-38.62649452777778
7,FWD,CE-060,145.4,-4.048500861111111,-38.62648738888889
7,FWD,CE-060,145.4,-4.042251277777778,-38.62651847222222
7,FWD,CE-060,145.4,-4.0195316666666665,-38.62655319444445
7,FWD,CE-060,145.4,-4.042083972222222,-38.62658697222222
7,FWD,CE-060,145.4,-4.019702722222222,-38.62661186111111
7,FWD,CE-060,145.4,-4.048637694444444,-38.626605222222224
7,FWD,CE-060,145.4,-4.041916666666666,-38.626655472222225
7,FWD,CE-060,145.4,-4.019873777777778,-38.626670527777776
7,FWD,CE-060,145.4,-4.020044805555555,-38.626729194444444
7,FWD,CE-060,145.4,-4.041749333333334,-38.62672397222222
7,FWD,CE-060,145.4,-4.048774527777778,-38.62672305555556
7,FWD,CE-060,145.4,-4.020215861111111,-38.62678786111111
7,FWD,CE-060,145.4,-4.041582027777777,-38.62679247222222
7,FWD,CE-060,145.4,-4.020386888888889,-38.6268465
7,FWD,CE-060,145.4,-4.048911361111111,-38.62684088888889
7,FWD,CE-060,145.4,-4.041414694444445,-38.626860944444445
8,FWD,CE-060,41.9,-4.020557944444445,-38.62690516666667
8,FWD,CE-060,41.9,-4.0412473888888885,-38.62692944444444
8,FWD,CE-060,41.9,-4.020728972222222,-38.626963833333335
8,FWD,CE-060,41.9,-4.0490481944444445,-38.62695872222222
8,FWD,CE-060,41.9,-4.041080083333333,-38.62699794444445
8,FWD,CE-060,41.9,-4.0209000277777776,-38.6270225
8,FWD,CE-060,41.9,-4.0409127499999995,-38.627066444444445
8,FWD,CE-060,41.9,-4.021071055555556,-38.62708116666667
8,FWD,CE-060,41.9,-4.049185055555555,-38.627076555555554
8,FWD,CE-060,41.9,-4.021242111111111,-38.62713983333333
8,FWD,CE-060,41.9,-4.040745444444444,-38.62713494444444
8,FWD,CE-060,41.9,-4.021413138888889,-38.6271985
8,FWD,CE-060,41.9,-4.049321888888889,-38.62719438888889
8,FWD,CE-060,41.9,-4.040578111111111,-38.62720341666667
8,FWD,CE-060,41.9,-4.021584194444444,-38.627257138888886
8,FWD,CE-060,41.9,-4.040410805555555,-38.627271916666665
8,FWD,CE-060,41.9,-4.021755222222223,-38.627315805555554
8,FWD,CE-060,41.9,-4.049458722222222,-38.62731222222222
8,FWD,CE-060,41.9,-4.0402435,-38.62734041666667
8,FWD,CE-060,41.9,-4.021926277777777,-38.62737447222222
8,FWD,CE-060,41.9,-4.040076166666666,-38.62740891666667
8,FWD,CE-060,41.9,-4.022097,-38.62743402777778
8,FWD,CE-060,41.9,-4.049595555555555,-38.62743005555556
8,FWD,CE-060,41.9,-4.039908861111111,-38.627477416666665
8,FWD,CE-060,41.9,-4.022267611111111,-38.627493944444446
8,FWD,CE-060,41.9,-4.039741527777777,-38.62754588888889
9,FWD,CE-060,120.1,-4.022438222222222,-38.62755383333334
9,FWD,CE-060,120.1,-4.049732388888889,-38.62754788888889
9,FWD,CE-060,120.1,-4.022608833333333,-38.62761375
9,FWD,CE-060,120.1,-4.039574222222222,-38.62761438888889
9,FWD,CE-060,120.1,-4.022779444444445,-38.627673638888886
9,FWD,CE-060,120.1,-4.049869222222222,-38.627665722222225
9,FWD,CE-060,120.1,-4.039406916666667,-38.62768288888889
9,FWD,CE-060,120.1,-4.022950027777778,-38.62773355555556
9,FWD,CE-060,120.1,-4.039239583333333,-38.62775138888889
9,FWD,CE-060,120.1,-4.023120638888889,-38.62779347222222
9,FWD,CE-060,120.1,-4.0500060555555555,-38.62778355555555
9,FWD,CE-060,120.1,-4.039072277777778,-38.62781988888889
9,FWD,CE-060,120.1,-4.02329125,-38.627853361111114
9,FWD,CE-060,120.1,-4.038904944444444,-38.62788836111111
9,FWD,CE-060,120.1,-4.0234618611111115,-38.62791327777778
9,FWD,CE-060,120.1,-4.050142888888889,-38.62790138888889
9,FWD,CE-060,120.1,-4.038734861111111,-38.62794922222222
9,FWD,CE-060,120.1,-4.023632472222222,-38.62797319444444
9,FWD,CE-060,120.1,-4.038562333333333,-38.628003416666665
9,FWD,CE-060,120.1,-4.050279722222222,-38.62801922222222
9,FWD,CE-060,120.1,-4.023803083333333,-38.628033083333335
9,FWD,CE-060,120.1,-4.038389805555555,-38.62805761111111
9,FWD,CE-060,120.1,-4.023973694444444,-38.628093
9,FWD,CE-060,120.1,-4.038217277777778,-38.628111805555555
9,FWD,CE-060,120.1,-4.050416583333333,-38.628137055555555
9,FWD,CE-060,120.1,-4.024144277777777,-38.62815288888889
10,FWD,CE-060,78.2,-4.03804475,-38.628166
10,FWD,CE-060,78.2,-4.024314888888889,-38.628212805555556
10,FWD,CE-060,78.2,-4.0378722499999995,-38.628220194444445
10,FWD,CE-060,78.2,-4.050553416666666,-38.62825488888889
10,FWD,CE-060,78.2,-4.0244855,-38.62827272222222
10,FWD,CE-060,78.2,-4.037699722222222,-38.62827438888889
10,FWD,CE-060,78.2,-4.024656111111111,-38.62833261111111
10,FWD,CE-060,78.2,-4.037527194444444,-38.628328583333335
10,FWD,CE-060,78.2,-4.05069025,-38.628372722222224
10,FWD,CE-060,78.2,-4.037354666666666,-38.62838277777778
10,FWD,CE-060,78.2,-4.0248267222222225,-38.62839252777778
10,FWD,CE-060,78.2,-4.037182138888888,-38.628436972222225
10,FWD,CE-060,78.2,-4.024997333333333,-38.62845244444444
10,FWD,CE-060,78.2,-4.037009611111111,-38.62849113888889
10,FWD,CE-060,78.2,-4.050827083333333,-38.62849055555556
10,FWD,CE-060,78.2,-4.025167944444444,-38.62851233333333
10,FWD,CE-060,78.2,-4.036837083333333,-38.628545333333335
10,FWD,CE-060,78.2,-4.025338527777778,-38.62857225
